"jour","heure","duree","titre","titreEN","theme","themeEN","salle","salleEN","description","descriptionEN"
"1","18:00","120m","Soirée d'ouverture & cocktail de networking","Opening evening & networking cocktail","Networking","Networking","Espace networking","Networking area","Keynote visionnaire : « Protection des données, confiance et souveraineté digitale : les piliers d'un écosystème numérique responsable et inclusif » (Talla Hervé Awui, IPDCP Togo). Thèmes : gouvernance des données, confiance numérique, souveraineté digitale, inclusion et protection des utilisateurs.","Visionary keynote: ""Data protection, trust and digital sovereignty: the pillars of a responsible and inclusive digital ecosystem"" (Talla Hervé Awui, IPDCP Togo). Themes: data governance, digital trust, digital sovereignty, inclusion and user protection."
"2","08:30","30m","Accueil des participants","Registration & welcome","Accueil","Welcome","Plénière","Plenary","",""
"2","09:00","30m","Keynote 1 — Fintech togolaises : innovation locale et intégration CEDEAO","Keynote 1 — Togolese fintechs: local innovation and ECOWAS integration","Keynote","Keynote","Plénière","Plenary","Scaling • Partenariats banques-fintech • Expansion régionale. Intervenant : Matina Gaël Egbidi (Solimi, TogoTech).","Scaling • Bank-fintech partnerships • Regional expansion. Speaker: Matina Gaël Egbidi (Solimi, TogoTech)."
"2","09:30","60m","Panel 1 — Écosystème financier togolais : comment mobile money, banques et fintech façonnent l'inclusion","Panel 1 — Togolese financial ecosystem: how mobile money, banks and fintech shape inclusion","Panel","Panel","Plénière","Plenary","Accès population • Solutions digitales • Régulation sécurisée • Impact économique et adoption marchande • Interopérabilité et partage des données. Intervenants : Joyce Homawoo (Ecobank Togo), Nesse Dally Tetteh Edoh (APSFD Togo), Amah Vinyo Capo (ARCEP Togo), Youssef Berrada (S2M), Togbe Agbagla (Agence Togo Digital), Lawson Michel Aziafa Latévi (Moov Africa), Talla Hervé Awui (IPDCP Togo), Edem Adjamagbo (SEMOA, TogoTech). Modérateur : Stephane Tchriffo.","Population access • Digital solutions • Secure regulation • Economic impact and merchant adoption • Interoperability and data sharing. Speakers: Joyce Homawoo (Ecobank Togo), Nesse Dally Tetteh Edoh (APSFD Togo), Amah Vinyo Capo (ARCEP Togo), Youssef Berrada (S2M), Togbe Agbagla (Agence Togo Digital), Lawson Michel Aziafa Latévi (Moov Africa), Talla Hervé Awui (IPDCP Togo), Edem Adjamagbo (SEMOA, TogoTech). Moderator: Stephane Tchriffo."
"2","10:30","30m","Keynote 2 — Sécurité, identité numérique et confiance dans les paiements togolais","Keynote 2 — Security, digital identity and trust in Togolese payments","Keynote","Keynote","Plénière","Plenary","Lutte contre la fraude • KYC digital • Protection des données. Intervenant : Capitaine Silété Devo (ANID).","Fraud prevention • Digital KYC • Data protection. Speaker: Capitaine Silété Devo (ANID)."
"2","11:00","30m","Pause café","Coffee break","Pause","Break","","","",""
"2","11:30","15m","Keynote 3 — Paiements digitaux : bâtir la confiance à l'ère de la donnée et de l'instantanéité","Keynote 3 — Digital payments: building trust in the era of data and instantaneity","Keynote","Keynote","Plénière","Plenary","Intervenant : Mehdi Harraq (Dataprotect).","Speaker: Mehdi Harraq (Dataprotect)."
"2","11:45","15m","Keynote 4 — IA et paiements agentiques : vers des paiements autonomes et intelligents","Keynote 4 — AI and agentic payments: towards autonomous and intelligent payments","Keynote","Keynote","Plénière","Plenary","Intervenant : Ilyas Berrajaa (BPC).","Speaker: Ilyas Berrajaa (BPC)."
"2","12:00","120m","Déjeuner networking","Networking lunch","Networking","Networking","Espace networking","Networking area","",""
"2","14:00","60m","Panel 2 — Pi-Spi : vers un marché unique des transactions","Panel 2 — Pi-Spi: towards a single market for transactions","Panel","Panel","Plénière","Plenary","Connectivité régionale • Transactions transfrontalières rapides • Accès pour les populations non bancarisées • Sécurisation des données et prévention des cybermenaces. Intervenants : Ilyas Berrajaa (BPC), Alexandre Adrian (Advanthink), Affo Kossi (Wages Togo), Soufiane Adnani (Dataprotect), Sefa Husunukpe (Mixx Togo), Abdel Biyao (Coris Bank International Togo). Modérateur : Stephane Tchriffo.","Regional connectivity • Fast cross-border transactions • Access for unbanked populations • Data security and cyber-threat prevention. Speakers: Ilyas Berrajaa (BPC), Alexandre Adrian (Advanthink), Affo Kossi (Wages Togo), Soufiane Adnani (Dataprotect), Sefa Husunukpe (Mixx Togo), Abdel Biyao (Coris Bank International Togo). Moderator: Stephane Tchriffo."
"2","15:30","180m","Networking B2B exclusif","Exclusive B2B networking","Networking","Networking","Espace B2B","B2B lounge","L'espace du forum se transforme en lounge B2B privé : 6 rendez-vous préprogrammés par partenaire avec des décideurs clés (institutions financières, fintechs, opérateurs technologiques). Accès réservé aux badges Sponsor et Invité.","The forum space becomes a private B2B lounge: 6 pre-scheduled meetings per partner with key decision-makers (financial institutions, fintechs, technology operators). Access reserved for Sponsor and Guest badges."
"2","19:30","120m","Cocktail dînatoire et networking","Dinner cocktail and networking","Networking","Networking","Espace networking","Networking area","Clôture de l'édition autour d'un cocktail dînatoire, propice au networking et aux échanges sur les temps forts et les futures collaborations.","Closing the edition around a dinner cocktail, conducive to networking and discussions on highlights and future collaborations."
