jour,heure,duree,titre_fr,titre_en,salle_fr,salle_en,theme_fr,theme_en,description_fr,description_en,couleur
1,18:00,,"Bienvenue à l'APF 2026","Welcome to APF 2026",,,"Réseautage","Networking","Cocktail de bienvenue — rencontrez les participants, intervenants et partenaires et nouez des connexions précieuses dans une ambiance exclusive et conviviale.","Welcome cocktail — meet participants, speakers and partners and forge valuable connections in an exclusive, friendly atmosphere.",
2,09:00,5m,"Mot de bienvenue","Welcome Note",,,"Plénière","Plenary",,,
2,09:05,25m,"Allocution du Ministre","Minister's Address",,,"Plénière","Plenary","Hon. Joseph Bukari Nikpe, Ministre des Transports, République du Ghana.","Hon. Joseph Bukari Nikpe, Minister of Transport, Republic of Ghana.",
2,09:30,15m,"Keynote d'ouverture : les ports africains et l'évolution des chaînes d'approvisionnement mondiales","Opening Keynote: African ports and the evolving global supply chain landscape",,,"Keynote","Keynote","Comment les ports africains peuvent-ils s'adapter aux perturbations géopolitiques et aux transformations des chaînes d'approvisionnement mondiales ? Intervenant : Dominique Lafont, Lafont Africa Corporation.","How can African ports adapt to geopolitical disruptions and transformations in global supply chains? Speaker: Dominique Lafont, Lafont Africa Corporation.",
2,09:45,75m,"Panel 1 — Réinventer la compétitivité portuaire en Afrique : gouvernance, performance et régulation","Panel 1 — Reinventing port competitiveness in Africa: governance, performance and regulation","","","Panel","Panel","Intervenants : Mohamed Samara (MPS – Port de Tema), Bart Van Eenoo (Port Autonome de Cotonou), Col. André Ciseau (PMAESA), James Nganga (BAD), Nasser Tlassellal (TangerMed Group). Modérateur : Kwasi Amano Awuku (KPMG).","Speakers: Mohamed Samara (MPS – Port of Tema), Bart Van Eenoo (Port Autonome de Cotonou), Col. André Ciseau (PMAESA), James Nganga (AfDB), Nasser Tlassellal (TangerMed Group). Moderator: Kwasi Amano Awuku (KPMG).",
2,11:00,30m,"Pause-café","Coffee Break",,,"Pause","Break",,,
2,11:30,30m,"Keynote : les ports, catalyseurs de l'industrialisation — créer de la valeur ajoutée en Afrique","Keynote: Ports as catalysts for industrialization — driving value addition in Africa",,,"Keynote","Keynote","Intervenant : Dr. Arthur Minsat, OCDE.","Speaker: Dr. Arthur Minsat, OECD.",
2,12:00,30m,"Fireside Chat : coopération portuaire — renforcer les synergies pour la connectivité et la croissance régionales","Fireside Chat: Port cooperation — strengthening synergies for regional connectivity and growth",,,"Discussion","Fireside Chat","Intervenant : Col. André Ciseau, PMAESA.","Speaker: Col. André Ciseau, PMAESA.",
2,12:30,30m,"Innovation Talks (Meridian Port Services) : des investissements audacieux au service d'une efficacité portuaire durable","Innovation Talks (Meridian Port Services): Bold investments as an engine for sustainable port efficiency",,,"Innovation","Innovation Talks","Intervenant : Mohamed Samara, Meridian Port Services Ltd.","Speaker: Mohamed Samara, Meridian Port Services Ltd.",
2,13:00,105m,"Déjeuner & Réseautage","Lunch & Networking",,,"Pause","Break",,,
2,14:45,75m,"Panel 2 — Digitalisation portuaire : des Port Community Systems aux ports intelligents","Panel 2 — Port digitalization: from Port Community Systems to Smart Ports",,,"Panel","Panel","Intervenants : Ayoboni Akindolie (IFC), Oussama Chougrani (Iolabs), Justice Awosonviri Akodia (Ghana Ports and Harbours Authority), Adil Raissouni (Tanger Med Port Authority), Charles Osafo (MPS – Port de Tema). Modérateur : Safall Fall (Forvis Mazars).","Speakers: Ayoboni Akindolie (IFC), Oussama Chougrani (Iolabs), Justice Awosonviri Akodia (Ghana Ports and Harbours Authority), Adil Raissouni (Tanger Med Port Authority), Charles Osafo (MPS – Port of Tema). Moderator: Safall Fall (Forvis Mazars).",
2,16:00,30m,"Innovation Talks (TME) : digitalisation de la gestion de la maintenance des infrastructures portuaires","Innovation Talks (TME): Digitalization of port infrastructure maintenance management",,,"Innovation","Innovation Talks","Intervenant : Oussama Boushaba, TME.","Speaker: Oussama Boushaba, TME.",
2,16:30,15m,"Pause-café","Coffee Break",,,"Pause","Break",,,
